user,team,year
4,Green Trido,2022
4,Red Dovu,2023
132,Yellow Sharshel,2018
135,Yellow Sharshel,2019
354,Yellow Sharshel,2022
378,Yellow Sharshel,2015
378,Green Trido,2016
378,Green Trido,2017
378,Blue Audril,2019
420,Blue Audril,2022
426,Yellow Sharshel,2020
437,Red Dovu,2015
437,Red Dovu,2016
925,Red Dovu,2016
1623,Yellow Sharshel,2018
1623,Blue Audril,2022
1623,Yellow Sharshel,2023
1623,Green Trido,2019
1623,Blue Audril,2020
1623,Red Dovu,2021
1704,Yellow Sharshel,2016
1710,Red Dovu,2015
1737,Blue Audril,2015
1737,Blue Audril,2016
1737,Red Dovu,2017
1737,Red Dovu,2018
1737,Yellow Sharshel,2022
1737,Red Dovu,2023
1737,Green Trido,2019
1737,Blue Audril,2020
1737,Yellow Sharshel,2021
1859,Green Trido,2015
1859,Blue Audril,2016
1940,Green Trido,2015
1940,Yellow Sharshel,2017
1940,Blue Audril,2019
1940,Yellow Sharshel,2020
1957,Green Trido,2015
2084,Red Dovu,2016
2932,Red Dovu,2018
2932,Yellow Sharshel,2020
2932,Green Trido,2021
3404,Red Dovu,2015
3404,Blue Audril,2016
3404,Red Dovu,2017
3404,Yellow Sharshel,2018
3404,Red Dovu,2022
3404,Green Trido,2023
3404,Blue Audril,2020
3404,Green Trido,2021
3860,Green Trido,2018
3860,Blue Audril,2022
3860,Red Dovu,2021
3860,Yellow Sharshel,2023
4171,Blue Audril,2015
4171,Red Dovu,2019
4541,Blue Audril,2016
4612,Blue Audril,2017
4612,Green Trido,2018
4612,Green Trido,2019
4890,Yellow Sharshel,2020
4890,Green Trido,2021
5527,Red Dovu,2023
5612,Blue Audril,2018
5752,Yellow Sharshel,2016
5786,Green Trido,2015
5786,Blue Audril,2018
6124,Green Trido,2016
7618,Green Trido,2015
7622,Red Dovu,2017
7644,Red Dovu,2018
8051,Blue Audril,2016
8051,Green Trido,2017
8051,Green Trido,2018
8051,Blue Audril,2022
8051,Red Dovu,2020
8051,Yellow Sharshel,2021
8161,Blue Audril,2023
8335,Blue Audril,2015
8335,Yellow Sharshel,2016
8335,Blue Audril,2017
8335,Red Dovu,2018
8335,Yellow Sharshel,2022
8335,Red Dovu,2023
8335,Yellow Sharshel,2019
8335,Blue Audril,2020
8335,Green Trido,2021
8736,Blue Audril,2022
8736,Yellow Sharshel,2023
8736,Green Trido,2020
8736,Red Dovu,2021
8887,Yellow Sharshel,2017
