year,season,event2,event2,#,phase,startYear,startDay,endYear,endDay
13,summer,Team Contest,,,,13,237,13,TBA
13,winter,Ansvin,Ansvin Pinata,2023,13,74,,
13,winter,Ansvin,Pinata Mania,1,13,74,,
13,winter,Ansvin,Pinata Mania,2,13,,,
13,winter,Ansvin,stock,pinatas,13,77,,
13,winter,Ansvin,stock,old,13,77,,
13,winter,Ansvin,competition,,13,,,
12,summer,Team Contest,,,12,,,
11,summer,Team Contest,,,11,,,
10,summer,Team Contest,,,10,,,
9,summer,Team Contest,,,9,,,
8,summer,Team Contest,,,8,,,
7,summer,Team Contest,,,7,,,
6,summer,Team Contest,,,6,,,
5,summer,Team Contest,,,5,,,
4,summer,,,,4,,,
3,summer,Team Contest,,,3,,,
2,summer,,,,2,,,
1,summer,,,,1,,,
-1,,,,,,,,
