year,event,position,team,mascot,points
2013,Team Contest,1,Yellow Sharshel,Kari,
2013,Team Contest,2,Green Trido,Oran,
2013,Team Contest,2,Red Dovu,Beri,
2013,Team Contest,4,Blue Audril,Lapis,
2015,Clash of Colours,1,Love,Ameil,54285
2015,Clash of Colours,2,Evil,Aiko,53045
2015,Team Contest,1,Yellow Sharshel,Kari,
2015,Team Contest,2,Green Trido,Oran,
2015,Team Contest,3,Red Dovu,Beri,
2015,Team Contest,4,Blue Audril,Lapis,
2016,Clash of Colours,1,Love,Ameil,36138
2016,Clash of Colours,2,Evil,Aiko,31635
2016,Team Contest,1,Green Trido,Oran,
2016,Team Contest,2,Red Dovu,Beri,
2016,Team Contest,3,Yellow Sharshel,Kari,
2016,Team Contest,4,Blue Audril,Lapis,
2017,Clash of Colours,1,Evil,Aiko,59260
2017,Clash of Colours,2,Love,Ameil,40683
2017,Team Contest,1,Green Trido,Oran,
2017,Team Contest,2,Blue Audril,Lapis,
2017,Team Contest,3,Yellow Sharshel,Kari,
2017,Team Contest,4,Red Dovu,Beri,
2018,Clash of Colours,1,Evil,Aiko,86520
2018,Clash of Colours,2,Love,Ameil,62318
2018,Team Contest,1,Red Dovu,Beri,
2018,Team Contest,2,Yellow Sharshel,Kari,
2018,Team Contest,3,Green Trido,Oran,
2018,Team Contest,4,Blue Audril,Lapis,
2019,Clash of Colours,1,Crystal,Elton,68388
2019,Clash of Colours,2,Plushie,Patchley,56062
2019,Team Contest,1,Blue Audril,Lapis,
2019,Team Contest,2,Yellow Sharshel,Kari,
2019,Team Contest,3,Green Trido,Oran,
2019,Team Contest,4,Red Dovu,Beri,
2020,Clash of Colours,1,Rainbow,Afhert,86595
2020,Clash of Colours,2,Toon,Voxiet,76585
2020,Team Contest,1,Green Trido,Oran,87109
2020,Team Contest,2,Yellow Sharshel,Kari,76340
2020,Team Contest,3,Blue Audril,Lapis,49533
2020,Team Contest,4,Red Dovu,Beri,26098
2021,Clash of Colours,1,Ancient,Zeiss,104772
2021,Clash of Colours,2,Mythical,Xaric,
2021,Team Contest,1,Blue Audril,Lapis,258522
2021,Team Contest,2,Yellow Sharshel,Kari,204808
2021,Team Contest,3,Green Trido,Oran,175057
2021,Team Contest,4,Red Dovu,Beri,92850
2022,Clash of Colours,1,Fire,Helia,106392
2022,Clash of Colours,2,Ice,Cypress,
2022,Team Contest,1,Yellow Sharshel,Kari,289624
2022,Team Contest,2,Blue Audril,Lapis,222683
2022,Team Contest,3,Red Dovu,Beri,196769
2022,Team Contest,4,Green Trido,Oran,157132
2023,Clash of Colours,1,Fairy,Amaryllis,117207
2023,Clash of Colours,2,Pirate,Halwn,96114
2023,Team Contest,TBA,Blue Audril,Lapis,
2023,Team Contest,TBA,Green Trido,Oran,
2023,Team Contest,TBA,Red Dovu,Beri,
2023,Team Contest,TBA,Yellow Sharshel,Kari,
