ID,Description
1,
2,Now that's something you don't want to sink your teeth into!
3,"Healthy, natural, green... don't you feel relaxed already?"
4,Pectin can be found in Red Apples; this beneficial component reduces the absorption of cholesterol and fights heart disease.
5,"If this Yellow Apple looks boring to you, mix it up with some other colourful foods until you get a perfect match. It keeps you entertained, at least."
6,A new flavour creation! Even tastier than Strawberry Ice Cream.
7,An original flavour with a little twist. It literally has a twist!
8,"Butterscotch and vanilla, these two flavours in harmony create a perfect blend."
9,"Simple is always best, and so is this Chocolate Ice Cream."
10,Caution: This Mint Ice Cream could possibly contain nuts.
11,Chocolate and vanilla never gets old. The swirl is a plus to make it look cool.
12,Made with real strawberries -- you just can't see them!
13,This Strawberry Swirl Ice Cream looks a bit like a bullseye!
14,Bananas have a large range of effects ranging from lowering high blood pressure to reducing swelling from mosquito bites!
15,"A fresher, sweeter taste than all the other Apples!"
16,Cherries are known to provide pain relief to people who suffer from arthritis.
17,"Delicious or not, these Grapes are still organic and pesticide free!"
18,"This Organic Orange might make you feel a bit oblivious from all of the ""o""s in its name."
19,"You don't mind paying a bit more for these better tasting Organic Strawberries, do you?"
20,"Using this Snow Jar is a chilling experience in more ways than one. If you like skeletons, you'll love a Skeletal Pet!"
21,Don't you think it has an alien look to it? Better not smell that!
22,Don't mistake this for blood; it's really just a simple potion!
23,Any Pet will desire this Snow Jar after learning that it can change their Colour to that of the ocean.
24,"No, it isn't a ray of sunlight trapped in a Snow Jar, but it is a weird and delicious liquid."
25,In order to drink that you might need to wait for it to melt first.
26,This is as Red as Ice Cubes can get.
27,"If you don't ask, we won't tell."
28,This Ice Cube will make your collection look more nature-like!
29,I wonder if you could make an earring out of this?
30,"Silver goes with gold, and it's such a pretty colour."
31,"It looks so glossy, but it's so cold!"
32,Look! There's a shooting star in this Ice Cube!
33,Look at all the pretty colours! How did they do that?
34,I think it just tried to sneak up on you.
35,Arrr! It be an Ice Cube.
36,This Ice Cube seems to be made out of metal. But it's ice. Hm.
37,I think I see a cloud in this one.
38,There seems to be a tiny bone in this one.
39,It looks like they made it out of mud. Can you freeze mud?
40,It's just an Ice Cube.
41,I wonder if it tastes like orange juice?
42,"It used to be a Red Ice Cube, but it was being kept too close to a Blue Ice Cube. Well, Purple is fine, too."
43,It tastes like a Pink Lemonade. You wonder how I know that? You don't want to know.
44,Quick! It's melting!
45,This Ice Cube will be a fiery hot addition to your collection.
46,
47,
48,
49,
50,"Oh look, it's so bright and pretty! I hope you brought your gloves so you don't burn your hands or your paws."
51,"A cold, sweet, 12 ounce Glass of Iced Tea."
52,Slightly better than a plain stick.
53,"A Jar of Apple Jelly, the perfect addition for any Biscuit or Slice of Bread."
54,"A light, flaky biscuit smeared with delicious apple jelly."
55,Amazing the difference a spoonful of jelly can make.
56,No more digging through thorn bushes for these delicious fruits!
57,The same great taste without the stick-in-your-teeth seeds.
58,"A delicious cone of blended ice, smothered with blackberry syrup."
59,
60,Don't get it on any cuts -- it stings! Funded by mochihugs.
61,"Strangely sweet, it will probably stain your lips blue."
62,Your tongue will be blue for hours after you eat this.
63,"The perfect addition to any toy chest. It's such a pretty colour, too."
64,"A loaf of plain, homemade bread. Slice it and toast it!"
65,"It's really more purple than blue, but it still tastes pretty good."
66,A plain Slice of Bread. That's all.
67,
68,
69,
70,"We're not sure who decided caramel and yogurt was a good mix, but it tastes surprisingly good."
71,"The perfect, sugar-free drink for any hot summer day."
72,A delicious cherry-flavored drink.
73,"A blend of milk and cherries, including the cherry pits!"
74,A traditional Cherry Snow Cone.
75,"A plate of warm, freshly baked, cookies dotted with gooey chocolate chips."
76,A bar of chocolate in six delicious segments!
77,A delicious snow cone with chocolate flavoring and a free topping of snot!
78,A delicious cake with a cute Trido on top!
79,A sweet mix of blue and pink syrup to make a colourful drink.
80,"An attractive, bright snow cone with a delicious carnival taste."
81,Slurp. Slurp. Slurp! This will make your taste-buds soar!
82,"This is just like a cherry pie, in a cup, and without crust."
83,A Glass of Lemonade sweetened with sugar and cooled with three ice cubes.
84,A glass of lime juice with sugar and two ice cubes. The perfect drink for a hot day.
85,"A cool, refreshing Glass of Orange Juice."
86,"A tall, cool, refreshing glass of lemonade. Cranberry juice gives it enough zest for that iconic pink colouring!"
87,Who in their right mind would drink this?
88,Who wouldn't want to eat this masterpiece?
89,Getting hit with this is like getting hit with a rock that explodes!
90,This is a fireball. Made of earth. Please don't ask how.
91,This snowball seems to be made of mud and leaves.
92,Control the power of the ground with this magical wand!
93,"Made from dirt, it's been compressed and aged so much that it can withstand many things."
94,"Made from mud, this sword can cause an opponent some distress. Just don't fight in the rain with it."
95,"Throw accurately and swiftly, as this bomb has a short fuse!"
96,"I have no idea how you are going to hold onto this to defend yourself. However, it does make a great campfire!"
97,"It is uncertain how this Ice Bomb can explode without the use of fire. However, it can still be used as a weapon against your enemies."
98,Warning: Use of this buckler may cause it to permanently attach to your arm. It's that cold.
99,I would wear a glove if I were going to be using this. Is losing your hand worth fighting with this?
100,This bomb will blow you away with the power of wind and explosives!
101,The wind can defeat any obstacle... perfect against most elements that your enemy may throw your way.
102,This impossible contradiction will surely confuse and cause pain to your opponent!
103,Summon the power of the volcanoes with this mighty stick.
104,Just your standard ball of fire. Nothing to see here.
105,"Years ago, Terrafrost was once a land of lakes and oceans. The ancient civilizations used fish as their primary source of food. One popular way to feast on these water-dwellers was with sticks; a tradition that has carried into modern times today."
106,"Ever swallowed a fish whole? Well, now you can."
107,Two eggs fried in a pan. These go great with sausage.
108,The perfect companion to peanut butter. Now we just need bread!
109,"A fruity, semi-frozen treat. This is the perfect reward for good grades."
110,"If you enjoy eating grapes, you'll absolutely love this!"
111,"If you're not careful enough, your tongue might get stuck!"
112,"Better play with this one inside, you might lose it in the grass..."
113,
114,
115,"Beyond its simplicity, this is a beneficial shield."
116,"A pair of nifty gauntlets, decked out with wicked looking spikes. Give 'em the old one-two, eh?"
117,"Toss this after your foe, and watch as they stumble and fall! You'll get a laugh along with your victory."
118,Carved and shaped to the point that it can slice through bone.
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,"Remember not to look directly into the light, you might go blind, or worse, get priced."
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,"For a day of skiing and snowball fights, join the eccentric villagers of Glacia! It is said the ice caverns here are full of most beautiful ice crystals around, and there is always something fun to do. After a day of backsliding down the slopes, nothing beats a mug of hot cocoa, so don't spend all your money in one place."
154,
155,"We're not quite sure where the name came from, but it is an interesting place. The plant life here cannot be found anywhere else in Icetopia, but please, no pictures! Some of the plants don't like the bright light. The Zabulun Village is found here, and it is known for its famous ice cream! Grab a sundae and get ready for a day of interesting sights."
156,"This exotic forest is named after an explorer who lost his way here many years ago. After discovering a friendly family of Astro Crichton, he found his way out and founded a small town within the shade of the trees. Feel free to pick up a coconut trinket and explore the jungle!"
157,"This cone looks delicious!Hey, why's it taste like fabric?Oh! It's a plushie"
158,It looks just like the Blueberry Swirl Ice Cream Cone.Packed with Cotton stuffing instead of yummy goodness.
159,
160,"The material label reads: 90% Sock, 5% Ball and... 5% False Hope?"
161,This is exactly like the game Ball-in-a-cup but minus the cup.
162,"Hey this one is scented! Mmm, Lemon."
163,"Sadly, this comes with no instruction manual."
164,This is exactly like the game Ball-in-a-cup but minus the cup.
165,I...I don't think these things go together...
166,The original mask made for the theft of other people's items!
167,"Regular old bandit masks are boring, so try this for your robbing purposes!"
168,Not sure if this will help you in the dark...
169,Am I a super hero? Well... yes! Yes I am!
170,
171,
172,
173,
174,
175,This cake has three delicious servings with lots of swirls all along the sides!
176,
177,This is a boat made of solid gold. Whoever said that toys had to be made out of plastic?
178,"Yarr, this be a toy pirate boat stolen from a real pirate! You best be on the look out for any pirates who might come looking for her!"
179,This boat lacks any decoration. Except this description. But that's also pretty lacking in details and thought.
180,"This Chocolate Ice Cream Cone Plushie is the best toy that a pet could ever have. It's soft and squishy, and don't worry about leaving it in high temperatures; plushies don't melt like normal ice cream."
181,"Chocolate Swirl ice cream cones are great, but they only lasts a few seconds as your pet devours it. But a nice Chocolate Swirl Ice Cream Cone Plushie will last forever; unless if your pet likes eating Plushies!"
182,"A super soft plushie for your pets to enjoy. All mint ice cream lovers will enjoy playing with this plushie, but make sure they don't eat it; it does not taste anything like ice cream."
183,"This Strawberry Ice Cream Cone Plushie is the best toy that a pet could ever have. It's soft and squishy, and don't worry about leaving it in high temperatures; plushies don't melt like normal ice cream."
184,"Just like Strawberry Ice Cream Cone Plushie but with an added swirl. Your pet will enjoy playing with this plushie for years to come; unlike ice cream, these will last forever."
185,"It might be the most basic of ice creams, but it is such a good one, too!"
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,"This spider looks real. Use it to elicit terrifying screams from anyone, but especially girls!"
196,Pretend to be somebody else. Surprise your friends with this great disguise.
197,This pen actually writes and squirts water! Don't squirt yourself by accident.
198,This gum leaves your breath smelling like fresh fish.
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,"Everything you could ever want to know about boats! Yes, boats!"
210,"This book is about 14,000 years old. It remains in perfect condition, and has numerous copies for... sentimental reasons."
211,
212,What? There's nothing written here but this one sentence...
213,Grab your favourite art supplies or program and dive in!
214,Everything you need to know about digging.
215,Feeling a little emo? Not sure what emo means? Then this book is for YOU!
216,"Ugh. Just when you thought school was over... You can't get away from education, even on a gaming site."
217,A complete guide to everything you need to know about rainbows.
218,Book? What book?
219,Be sure to wear gloves while reading this book. Wouldn't want you getting frostbite!
220,"From trashy cement lawns to fancy mansion estates, learn how to make your yard reflect your personality."
221,Learn about the history of IcePets and how the world came to be.
222,A story about a Traptur that went from bland to glam!
223,"Beware of... a book!? Careful, this book bites."
224,"1+1=2, 2*4=8. Learn math the easy way with this math textbook."
225,Looks like it's time for a new job.
226,A complete guide to all of Mr Rawl's inventions.
227,A diary found discarded near a private residence.I wonder who left it here...
228,This book is for those crafty people out there. Have fun and let out your creativity in this book.
229,
230,Scary tales to tell around the campfire.
231,
232,Who knew pulling weeds could be so dangerous?
233,No good deed goes unrewarded.
234,
235,
236,
237,It's just a plain biscuit. Goes great with jelly.
238,"A plain slice of plain bread with a plain, fried egg on top."
239,A hot biscuit with a slice of steaming sausage between the biscuit slices.
240,A piece of bread toasted and smeared with butter.
241,A piece of bread toasted and smeared with butter.
242,"Hurry and catch this little critter, it smells like bananas."
243,The banana split just got better! Ice cream and bananas drizzled with chocolate syrup.
244,"This Gelatin is made with the juice of purple grapes, not green ones."
245,A bowl of lime-flavored gelatin. I wonder if it glows in the dark?
246,This gelatin is so tart it makes your lips pucker like this: ><
247,
248,
249,
250,"A warm cup of coffee, perfect for a cold day or a burst of energy."
251,
252,
253,"Blueberry, strawberry, cranberry, berry overload!Discovered by SunnySparks."
254,Taste the rainbow...smoothie.
255,"This smoothie tastes like cool breezes on a warm day, sitting by the ocean, drinking a smoothie with an umbrella in it.Discovered by Lovely_Plushies."
256,Satisfy those chocolate cravings...NOW!
257,"As if lemon wasn't tart enough, we decided to add lime!"
258,A little dash of sunshine in a glass. This lemon smoothie brightens any dull day.
259,"Watermelon, cantaloupe, water dew. All the great melons, rolled up into one tasty drink."
260,This tastes nothing like an orange actually. It's just orange in colour.
261,"Well, you can't have a chocolate smoothie without a vanilla smoothie. So, here's one for all you vanilla lovers out there!Discovered by Aegean."
262,"A large, rather garlicy...garlicfied? Anyway, it tastes like garlic."
263,
264,
265,The perfect item to leave fancy notes on your refrigerator with.
266,
267,"Found only in the Khalic Desert, this fancy trinket will make your pet feel more powerful when worn!"
268,
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,The perfect toy for your battle arena pet in training.
280,"Flames encase this sword, so use with caution when wielding."
281,"This isn't a real ice sword. But you knew that before you bought it, right?"
282,There's nothing special about this sword...except that it's green.
283,"A piping hot bowl of traditional, chicken and noodle soup."
284,
285,
286,"A simple, delightful toy. (Warning: Icepet Toy Factory is not responsible for the reactions of others to the noise.)"
287,"A bottle of vitamin A tablets, perfect for any pet!"
288,This slightly fuzzy peach is perfectly ripe and ready to eat!
289,"A bottle of vitamin C tablets, perfect for any pet!"
290,"A bottle of vitamin D tablets, perfect for any pet!"
291,"A Sharshel shell packed with gunpowder, hurl it at an opponent and watch it explode."
292,
293,
