ID,Name,Category,Rarity,Value
1,???,None,0,0
2,Ice Apple,Food,5,1921
3,Green Apple,Food,1,165
4,Red Apple,Food,1,311
5,Yellow Apple,Food,1,313
6,Blueberry Ice Cream,Food,1,316
7,Blueberry Swirl Ice Cream,Food,3,384
8,Butterscotch Swirl Ice Cream,Food,3,1006
9,Chocolate Ice Cream,Food,1,297
10,Mint Ice Cream,Food,3,436
11,Chocolate Swirl Ice Cream,Food,3,416
12,Strawberry Ice Cream,Food,1,114
13,Strawberry Swirl Ice Cream,Food,2,358
14,Organic Bananas,Food,1,193
15,Organic Apple,Food,1,149
16,Organic Cherries,Food,1,386
17,Organic Grapes,Food,2,386
18,Organic Orange,Food,1,342
19,Organic Strawberry,Food,1,296
20,Skeletal Snow Jar,Morph,5,15000
21,Green Snow Jar,Morph,1,1000
22,Red Snow Jar,Morph,1,1000
23,Blue Snow Jar,Morph,1,1000
24,Yellow Snow Jar,Morph,1,1000
25,Glacial Snow Jar,Morph,4,8000
26,Red Ice Cube,Ice Cube,3,2463
27,Yellow Ice Cube,Ice Cube,3,1866
28,Green Ice Cube,Ice Cube,3,1335
29,Golden Ice Cube,Ice Cube,5,12000
30,Silver Ice Cube,Ice Cube,4,6000
31,Black Ice Cube,Ice Cube,3,2200
32,Galaxy Ice Cube,Ice Cube,4,750
33,Rainbow Ice Cube,Ice Cube,4,10000
34,Shuriken Ice Cube,Ice Cube,5,2150
35,Pirate Hat Ice Cube,Ice Cube,5,7176
36,Bronze Ice Cube,Ice Cube,5,2000
37,Blue Ice Cube,Ice Cube,2,1130
38,Bone Ice Cube,Ice Cube,5,4000
39,Brown Ice Cube,Ice Cube,1,729
40,Plain Ice Cube,Ice Cube,1,1000
41,Orange Ice Cube,Ice Cube,3,1296
42,Purple Ice Cube,Ice Cube,3,1554
43,Pink Ice Cube,Ice Cube,3,3262
44,Melting Ice Cube,Ice Cube,1,2051
45,Flaming Ice Cube,Ice Cube,5,5000
46,???,None,0,0
47,???,None,0,0
48,???,None,0,0
49,???,None,0,0
50,Fire Snowball,Battle Item,2,1034
51,Glass of Iced Tea,Food,2,478
52,Stick on Fire,Battle Item,2,1002
53,Jar of Apple Jelly,Food,1,281
54,Biscuit with Apple Jelly,Food,1,225
55,Biscuit with Grape Jelly,Food,1,265
56,Blackberry Slushie,Food,3,753
57,Blackberry Smoothie,Food,3,732
58,Blackberry Snow Cone,Food,2,549
59,???,None,0,0
60,Pitcher of Blueberry Lemonade,Food,1,180
61,Blueberry Slushie,Food,1,177
62,Blueberry Snow Cone,Food,1,147
63,Blue Bouncy Ball,Toy,2,531
64,Loaf of Bread,Food,1,267
65,Blueberry Smoothie,Food,1,173
66,Slice of Bread,Food,1,145
67,???,None,0,0
68,???,None,0,0
69,???,None,0,0
70,Caramel Smoothie,Food,2,457
71,Pitcher of Cherryade,Food,2,554
72,Cherry Slushie,Food,2,385
73,Cherry Smoothie,Food,1,268
74,Cherry Snow Cone,Food,1,183
75,Chocolate Chip Cookies,Food,1,208
76,Chocolate Bar,Food,1,138
77,Chocolate Snot Snow Cone,Food,5,7450
78,Chocolate Trido Cake,Food,2,447
79,Cottoncandy Slushie,Food,3,595
80,Cottoncandy Snow Cone,Food,3,683
81,Glass of Blueberry Lemonade,Food,1,268
82,Glass of Cherryade,Food,1,195
83,Glass of Lemonade,Food,1,142
84,Glass of Limeade,Food,1,311
85,Glass of Orange Juice,Food,1,283
86,Glass of Pink Lemonade,Food,1,173
87,Glass of Plumade,Food,1,272
88,Novyn Volcano Cake,Food,2,359
89,Earth Bomb,Battle Item,1,578
90,Earth Fireball,Battle Item,3,1606
91,Earth Snowball,Battle Item,1,552
92,Earth Wand,Battle Item,2,1012
93,Earth Buckler,Battle Item,1,606
94,Earth Sword,Battle Item,2,1046
95,Fire Bomb,Battle Item,1,666
96,Fire Buckler,Battle Item,1,654
97,Ice Bomb,Battle Item,1,176
98,Ice Buckler,Battle Item,1,644
99,Ice Sword,Battle Item,2,836
100,Wind Bomb,Battle Item,1,486
101,Wind Buckler,Battle Item,2,618
102,Ice Fireball,Battle Item,2,1156
103,Fire Wand,Battle Item,2,916
104,Fireball,Battle Item,3,1606
105,Fish on a Stick,Battle Item,1,534
106,Fish Slushie,Food,4,1441
107,Fried Eggs,Food,1,325
108,Jar of Grape Jelly,Food,1,311
109,Grape Slushie,Food,3,664
110,Grape Smoothie,Food,2,269
111,Grape Snow Cone,Food,1,177
112,Green Bouncy Ball,Toy,2,306
113,???,None,0,0
114,???,None,0,0
115,Steel Shield,Battle Item,1,1634
116,Spiked Gauntlets,Battle Item,3,1453
117,Coconut Projectile,Battle Item,3,1453
118,Iron Battleaxe,Battle Item,2,964
119,???,None,0,0
120,???,None,0,0
121,???,None,0,0
122,???,None,0,0
123,???,None,0,0
124,???,None,0,0
125,???,None,0,0
126,???,None,0,0
127,???,None,0,0
128,Autopricer,Misc,5,100000
129,???,None,0,0
130,???,None,0,0
131,???,None,0,0
132,???,None,0,0
133,???,None,0,0
134,???,None,0,0
135,???,None,0,0
136,???,None,0,0
137,???,None,0,0
138,???,None,0,0
139,???,None,0,0
140,???,None,0,0
141,???,None,0,0
142,???,None,0,0
143,???,None,0,0
144,???,None,0,0
145,???,None,0,0
146,???,None,0,0
147,???,None,0,0
148,???,None,0,0
149,???,None,0,0
150,???,None,0,0
151,???,None,0,0
152,???,None,0,0
153,Glacia Stamp,Stamp,2,1735
154,???,None,0,0
155,Knollo Woods Stamp,Stamp,2,1826
156,Halipar Jungles Stamp,Stamp,2,1637
157,Blueberry Ice Cream Cone Plush,Plushie,2,1226
158,Blueberry Swirl Ice Cream Cone Plush,Plushie,3,2272
159,???,None,0,0
160,Blue Sock and Ball,Toy,1,345
161,Green Sock and Ball,Toy,2,543
162,Orange Sock and Ball,Toy,3,822
163,Purple Sock and Ball,Toy,2,497
164,Rainbow Sock and Ball,Toy,5,1793
165,Yellow Sock and Ball,Toy,1,448
166,Black Bandit Mask,Beauty,2,210
167,Blue Bandit Mask,Beauty,2,210
168,Red Bandit Mask,Beauty,2,210
169,Yellow Bandit Mask,Beauty,2,210
170,???,None,0,0
171,???,None,0,0
172,???,None,0,0
173,???,None,0,0
174,???,None,0,0
175,Birthday Cake,Food,3,450
176,???,None,0,0
177,Gold Boat,Toy,4,3500
178,Pirate Boat,Toy,1,515
179,Plain Boat,Toy,1,280
180,Chocolate Ice Cream Cone Plush,Plushie,2,1257
181,Chocolate Swirl Ice Cream Cone Plush,Plushie,1,1795
182,Mint Ice Cream Cone Plush,Plushie,3,5225
183,Strawberry Ice Cream Cone Plush,Plushie,2,1685
184,Strawberry Swirl Ice Cream Cone Plush,Plushie,2,1482
185,Vanilla Ice Cream Cone Plush,Plushie,1,169
186,???,None,0,0
187,???,None,0,0
188,???,None,0,0
189,???,None,0,0
190,???,None,0,0
191,???,None,0,0
192,???,None,0,0
193,???,None,0,0
194,???,None,0,0
195,Prankster Fake Spider,Toy,4,7855
196,Prankster Glasses,Toy,3,942
197,Prankster Squirt Pen,Toy,4,7400
198,Prankster Tuna Gum,Toy,5,12400
199,???,None,0,0
200,???,None,0,0
201,???,None,0,0
202,???,None,0,0
203,???,None,0,0
204,???,None,0,0
205,???,None,0,0
206,???,None,0,0
207,???,None,0,0
208,???,None,0,0
209,All About Boats,Book,1,400
210,Ancient Book,Book,4,1950
211,???,None,0,0
212,Book of Secrets,Book,5,1000
213,Colouring Book,Book,1,257
214,Digging Handbook,Book,3,291
215,Emo Book,Book,2,642
216,English Textbook,Book,5,8750
217,All About Rainbows,Book,3,381
218,Forgotten Book,Book,5,3050
219,Frozen Book,Book,5,9999
220,Gardening Handbook,Book,2,347
221,History Textbook,Book,4,3450
222,The Secret of the Rainbow,Book,4,7500
223,Hungry Book,Book,3,910
224,Math Textbook,Book,1,101
225,Misplaced Mine Shafts,Book,3,469
226,Mr Rawls Magical Inventions,Book,3,801
227,Private Diary,Book,1,27
228,Scrapbook,Book,1,117
229,???,None,0,0
230,Tales From the Graveyard,Book,2,666
231,???,None,0,0
232,The Malignant Weed,Book,3,881
233,The Moon Sapphire,Book,5,5181
234,???,None,0,0
235,???,None,0,0
236,???,None,0,0
237,Plain Biscuit,Food,1,117
238,Slice of Bread with Egg,Food,1,116
239,Sausage Biscuit,Food,2,121
240,Toast with Egg,Food,1,121
241,Toast,Food,1,121
242,Vanilla Banana Split,Food,2,241
243,Chocolate Covered Vanilla Banana Split,Food,3,340
244,Grape Gelatin,Food,2,150
245,Lime Gelatin,Food,1,100
246,Lemon Gelatin,Food,1,117
247,???,None,0,0
248,???,None,0,0
249,???,None,0,0
250,Coffee,Food,2,150
251,???,None,0,0
252,???,None,0,0
253,Mixed Berry Smoothie,Food,3,291
254,Rainbow Smoothie,Food,4,2710
255,Tropical Cooler Smoothie,Food,3,341
256,Chocolate Smoothie,Food,1,100
257,Lemon Lime Smoothie,Food,2,220
258,Lemon Smoothie,Food,1,181
259,Melon Smoothie,Food,1,261
260,Orange Smoothie,Food,3,298
261,Vanilla Smoothie,Food,1,191
262,Pickle,Food,2,3250
263,???,None,0,0
264,???,None,0,0
265,Magnetic Chalkboard,Toy,3,545
266,???,None,0,0
267,Scarab Amulet,Beauty,5,10000
268,???,None,0,0
269,???,None,0,0
270,???,None,0,0
271,???,None,0,0
272,???,None,0,0
273,???,None,0,0
274,???,None,0,0
275,???,None,0,0
276,???,None,0,0
277,???,None,0,0
278,???,None,0,0
279,Rubber Earth Sword,Toy,1,100
280,Rubber Fire Sword,Toy,1,150
281,Rubber Ice Sword,Toy,1,160
282,Rubber Wind Sword,Toy,1,190
283,Chicken Noodle Soup,Food,2,450
284,???,None,0,0
285,???,None,0,0
286,Noise Maker,Toy,1,315
287,Lemon Ginger Kombucha,Food,1,435
288,Peach Pie Kombucha,Food,1,435
289,Blueberry Kombucha,Food,1,435
290,Strawberry Kombucha,Food,1,435
291,Sharshel Shell Bomb,Battle Item,2,650
292,???,None,0,0
293,???,None,0,0
294,Venus Fly Trap,Battle Item,2,589
295,???,None,0,0
296,???,None,0,0
297,Wooden Shield,Battle Item,1,300
298,???,None,0,0
299,Spiked Club,Battle Item,1,420
300,???,None,0,0
301,Rainbow Gemstone,Misc,3,1499
302,???,None,0,0
303,???,None,0,0
304,???,None,0,0
305,???,None,0,0
306,???,None,0,0
307,???,None,0,0
308,???,None,0,0
309,???,None,0,0
310,Rainbow Chalk,Toy,5,10000
311,Blueberry Ice Cream Stamp,Stamp,2,329
312,Stoneage Stamp,Stamp,3,800
313,Referral Stamp,Stamp,6,5000
314,Sweets Stamp,Stamp,1,350
315,Literary Stamp,Stamp,2,400
316,Fruits Stamp,Stamp,2,359
317,Toys Stamp,Stamp,2,410
318,Glimmering Gemstones Stamp,Stamp,3,1677
319,Ice Shard Stamp,Stamp,5,16000
320,Terrafrost Stamp,Stamp,2,377
321,Weapons Stamp,Stamp,2,419
322,Trophies Stamp,Stamp,3,1345
323,Ice Cube Stamp,Stamp,1,239
324,Earth Bomb Stamp,Stamp,1,209
325,F360 Stamp,Stamp,6,729
326,???,None,0,0
327,Prankster Sneezing Powder,Toy,5,6250
328,???,None,0,0
329,???,None,0,0
330,???,None,0,0
331,Torn 1 IP Stamp,Stamp,2,201
332,Banker Stamp,Stamp,3,701
333,Old Glacia Stamp,Stamp,1,338579
334,Zekari Stamp,Stamp,4,2750
335,Audril Stamp,Stamp,5,6100
336,???,None,0,0
337,Silly Cobron Stamp,Stamp,3,1192
338,Golden Jakrit Stamp,Stamp,3,1477
339,???,None,0,0
340,Miscoloured Ori Stamp,Stamp,5,16817
341,Ori Stamp,Stamp,5,16817
342,Ridix Stamp,Stamp,2,308
343,Sharshel Heart Stamp,Stamp,3,3191
344,???,None,0,0
345,Wulfer Heart Stamp,Stamp,3,2208
346,Fake Gold Crown,Beauty,1,171
347,Fake Jeweled Crown,Beauty,1,189
348,Fake Magic Crown,Beauty,5,5000
349,Blue Glow Necklace,Beauty,2,500
350,Green Glow Necklace,Beauty,2,275
351,Purple Glow Necklace,Beauty,3,301
352,Red Glow Necklace,Beauty,3,299
353,Yellow Glow Necklace,Beauty,1,90
354,???,None,0,0
355,Dirt Cider,Food,1,190
356,Hot Apple Cider,Food,1,132
357,Soiled Pie,Food,1,195
358,???,None,0,0
359,???,None,0,0
360,Apple Rock Candy,Food,1,115
361,Blueberry Rock Candy,Food,2,257
362,Cherry Rock Candy,Food,1,245
363,Grape Rock Candy,Food,3,771
364,Mystery Rock Candy,Food,5,13715
365,Rainbow Rock Candy,Food,4,5987
366,Strawberry Rock Candy,Food,3,494
367,Battle Quill,Battle Item,4,4912
368,???,None,0,0
369,???,None,0,0
370,???,None,0,0
371,Trident,Battle Item,1,177
372,???,None,0,0
373,???,None,0,0
374,???,None,0,0
375,Wooden Lance,Battle Item,1,270
376,???,None,0,0
377,???,None,0,0
378,???,None,0,0
379,???,None,0,0
380,???,None,0,0
381,???,None,0,0
382,???,None,0,0
383,???,None,0,0
384,???,None,0,0
385,???,None,0,0
386,???,None,0,0
387,Frozen Chicken Noodle Soup,Ice Cube,3,1450
388,???,None,0,0
389,Potato Soup,Food,1,350
390,Frozen Potato Soup,Ice Cube,3,1350
391,Egg Drop Soup,Food,1,375
392,Frozen Egg Drop Soup,Ice Cube,3,1375
393,Cream of Mushroom Soup,Food,1,329
394,Frozen Cream of Mushroom Soup,Ice Cube,3,1329
395,???,None,0,0
396,???,None,0,0
397,???,None,0,0
398,???,None,0,0
399,???,None,0,0
400,???,None,0,0
401,???,None,0,0
402,???,None,0,0
403,???,None,0,0
404,???,None,0,0
405,???,None,0,0
406,???,None,0,0
407,???,None,0,0
408,???,None,0,0
409,???,None,0,0
410,Book of Aliteen Cliffs,Book,1,499
411,The Encyclopedia of Extinct Companions H-O,Book,1,244650
412,Survivors Score Boost,Battle Item,2,2590
413,Survivors Temporary Shield,Battle Item,2,2375
414,Survivors Rocket,Battle Item,3,3549
415,Survivors Explosion,Battle Item,3,4319
416,Rainbow Lollipop,Food,5,10950
417,Cherry Lollipop,Food,1,220
418,Blueberry Lollipop,Food,1,220
419,Grape Lollipop,Food,1,220
420,Chocolate Lollipop,Food,3,200
421,Kiwi Lollipop,Food,1,220
422,Lemon Lollipop,Food,1,220
423,Orange Lollipop,Food,1,220
424,The Common Cookbook,Book,3,675
425,Book of Intelligence,Book,1,700
426,Learning Your World,Book,3,998
427,???,None,0,0
428,Book of Beauty,Book,1,525
429,Ice Cubes and You!,Book,3,499
430,Book of Toys,Book,3,2485
431,Book of Events,Book,5,5530
432,Book of Technology,Book,2,979
433,???,None,0,0
434,Sweets Are a Part of You,Book,1,490
435,Book of Ice,Book,1,595
436,Book of Nature,Book,1,615
437,Book of Recycling,Book,1,785
438,Misty Isle Stamp,Stamp,3,500
439,???,None,0,0
440,Traptur Stamp,Stamp,3,804
441,Magical Magic Eight Ball,Toy,5,16075
442,Bone Xylophone,Toy,4,7600
443,Black Balloon,Toy,4,12585
444,Blue Balloon,Toy,1,554
445,Green Balloon,Toy,1,110
446,Orange Balloon,Toy,3,748
447,Pink Balloon,Toy,3,627
448,Purple Balloon,Toy,3,593
449,Red Balloon,Toy,1,127
450,Yellow Balloon,Toy,1,1650
451,Grand Opening Balloon,Special Event,6,10000
452,Armour Making,Book,2,650
453,Book of Fruits,Book,1,359
454,Book of Battle Tips,Book,2,715
455,Book of Medicine,Book,3,545
456,Benny's Book of Stamps,Book,1,299
457,Wooden Weapon Making,Book,2,329
458,Employees Of Glacia,Book,2,555
459,The Brave Ori,Book,1,300
460,Caring for Your Pet,Book,3,499
461,???,None,0,0
