ID,Stock,IC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
2,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
3,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
4,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
5,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
6,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
7,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
8,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
9,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
10,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
11,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
12,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
13,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
14,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
15,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
16,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
17,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
18,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
19,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
20,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
21,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
22,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
23,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
24,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
25,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
26,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
27,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
28,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
29,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
30,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
31,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
32,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
33,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
34,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
35,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
36,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
37,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
38,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
39,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
40,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
41,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
42,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
43,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
44,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
45,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
46,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
47,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
48,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
49,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
50,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
51,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
52,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
53,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
54,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
55,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
56,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
57,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
58,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
59,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
60,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
61,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
62,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
63,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
64,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
65,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
66,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
67,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
68,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
69,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
70,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
71,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
72,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
73,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
74,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
75,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
76,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
77,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
78,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
79,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
80,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
81,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
82,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
83,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
84,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
85,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
86,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
87,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
88,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
89,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
90,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
91,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
92,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
93,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
94,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
95,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
96,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
97,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
98,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
99,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
100,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
101,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
102,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
103,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
104,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
105,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
106,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
107,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
108,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
109,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
110,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
111,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
112,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
113,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
114,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
115,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
116,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
117,none,0,00,00,00,00,00,00,00,00,00,00,00,00,00
