ID,mainStock,Glacial Grocer,Affogato,Frozen Collectives Emporium,Battle Shop,Toy Trunk,Sugar Rush,United Terrafrost Post Office,Plushie Palace,Grooming Parlour,Ralph's Page Turners,Jacobi's Companion Reserve,Snow Jar Igloo,Golden Touch
1,none,0,1,0,0,1,1,1,1,1,1,1,1,1
2,main,1,0,0,0,0,0,0,0,0,0,0,0,0
3,main,1,0,0,0,0,0,0,0,0,0,0,0,0
4,main,1,0,0,0,0,0,0,0,0,0,0,0,0
5,main,1,0,0,0,0,0,0,0,0,0,0,0,0
6,main,0,1,0,0,0,0,0,0,0,0,0,0,0
7,main,0,1,0,0,0,0,0,0,0,0,0,0,0
8,main,0,1,0,0,0,0,0,0,0,0,0,0,0
9,main,0,1,0,0,0,0,0,0,0,0,0,0,0
10,main,0,1,0,0,0,0,0,0,0,0,0,0,0
11,main,0,1,0,0,0,0,0,0,0,0,0,0,0
12,main,0,1,0,0,0,0,0,0,0,0,0,0,0
13,main,0,1,0,0,0,0,0,0,0,0,0,0,0
14,main,1,0,0,0,0,0,0,0,0,0,0,0,0
15,main,1,0,0,0,0,0,0,0,0,0,0,0,0
16,main,1,0,0,0,0,0,0,0,0,0,0,0,0
17,main,1,0,0,0,0,0,0,0,0,0,0,0,0
18,main,1,0,0,0,0,0,0,0,0,0,0,0,0
19,main,1,0,0,0,0,0,0,0,0,0,0,0,0
20,main,0,0,0,0,0,0,0,0,0,0,0,1,0
21,main,0,0,0,0,0,0,0,0,0,0,0,1,0
22,main,0,0,0,0,0,0,0,0,0,0,0,1,0
23,main,0,0,0,0,0,0,0,0,0,0,0,1,0
24,main,0,0,0,0,0,0,0,0,0,0,0,1,0
25,main,0,0,0,0,0,0,0,0,0,0,0,1,0
26,main,0,0,1,0,0,0,0,0,0,0,0,0,0
27,main,0,0,1,0,0,0,0,0,0,0,0,0,0
28,main,0,0,1,0,0,0,0,0,0,0,0,0,0
29,none,0,0,0,0,0,0,0,0,0,0,0,0,0
30,none,0,0,0,0,0,0,0,0,0,0,0,0,0
31,main,0,0,1,0,0,0,0,0,0,0,0,0,0
32,main,0,0,1,0,0,0,0,0,0,0,0,0,0
33,none,0,0,0,0,0,0,0,0,0,0,0,0,0
34,main,0,0,1,0,0,0,0,0,0,0,0,0,0
35,main,0,0,1,0,0,0,0,0,0,0,0,0,0
36,none,0,0,0,0,0,0,0,0,0,0,0,0,0
37,main,0,0,1,0,0,0,0,0,0,0,0,0,0
38,none,0,0,0,0,0,0,0,0,0,0,0,0,0
39,main,0,0,1,0,0,0,0,0,0,0,0,0,0
40,main,0,0,1,0,0,0,0,0,0,0,0,0,0
41,main,0,0,1,0,0,0,0,0,0,0,0,0,0
42,main,0,0,1,0,0,0,0,0,0,0,0,0,0
43,main,0,0,1,0,0,0,0,0,0,0,0,0,0
44,none,0,0,0,0,0,0,0,0,0,0,0,0,0
45,none,0,0,0,0,0,0,0,0,0,0,0,0,0
46,none,0,0,0,0,0,0,0,0,0,0,0,0,0
47,none,0,0,0,0,0,0,0,0,0,0,0,0,0
48,none,0,0,0,0,0,0,0,0,0,0,0,0,0
49,none,0,0,0,0,0,0,0,0,0,0,0,0,0
50,main,0,0,0,1,0,0,0,0,0,0,0,0,0
51,main,0,1,0,0,0,0,0,0,0,0,0,0,0
52,main,0,0,0,1,0,0,0,0,0,0,0,0,0
53,main,1,0,0,0,0,0,0,0,0,0,0,0,0
54,main,1,0,0,0,0,0,0,0,0,0,0,0,0
55,main,1,0,0,0,0,0,0,0,0,0,0,0,0
56,main,0,1,0,0,0,0,0,0,0,0,0,0,0
57,main,0,1,0,0,0,0,0,0,0,0,0,0,0
58,main,0,1,0,0,0,0,0,0,0,0,0,0,0
59,none,0,0,0,0,0,0,0,0,0,0,0,0,0
60,main,0,1,0,0,0,0,0,0,0,0,0,0,0
61,main,0,1,0,0,0,0,0,0,0,0,0,0,0
62,main,0,1,0,0,0,0,0,0,0,0,0,0,0
63,main,0,0,0,0,1,0,0,0,0,0,0,0,0
64,main,1,0,0,0,0,0,0,0,0,0,0,0,0
65,main,0,1,0,0,0,0,0,0,0,0,0,0,0
66,main,1,0,0,0,0,0,0,0,0,0,0,0,0
67,none,0,0,0,0,0,0,0,0,0,0,0,0,0
68,none,0,0,0,0,0,0,0,0,0,0,0,0,0
69,none,0,0,0,0,0,0,0,0,0,0,0,0,0
70,main,0,1,0,0,0,0,0,0,0,0,0,0,0
71,main,0,1,0,0,0,0,0,0,0,0,0,0,0
72,main,0,1,0,0,0,0,0,0,0,0,0,0,0
73,main,0,1,0,0,0,0,0,0,0,0,0,0,0
74,main,0,1,0,0,0,0,0,0,0,0,0,0,0
75,main,0,0,0,0,0,1,0,0,0,0,0,0,0
76,main,0,0,0,0,0,1,0,0,0,0,0,0,0
77,main,0,1,0,0,0,0,0,0,0,0,0,0,0
78,main,0,0,0,0,0,1,0,0,0,0,0,0,0
79,main,0,1,0,0,0,0,0,0,0,0,0,0,0
80,main,0,1,0,0,0,0,0,0,0,0,0,0,0
81,main,0,1,0,0,0,0,0,0,0,0,0,0,0
82,main,0,1,0,0,0,0,0,0,0,0,0,0,0
83,main,0,1,0,0,0,0,0,0,0,0,0,0,0
84,main,0,1,0,0,0,0,0,0,0,0,0,0,0
85,main,0,1,0,0,0,0,0,0,0,0,0,0,0
86,main,0,1,0,0,0,0,0,0,0,0,0,0,0
87,main,0,1,0,0,0,0,0,0,0,0,0,0,0
88,main,0,0,0,0,0,1,0,0,0,0,0,0,0
89,main,0,0,0,1,0,0,0,0,0,0,0,0,0
90,main,0,0,0,1,0,0,0,0,0,0,0,0,0
91,main,0,0,0,1,0,0,0,0,0,0,0,0,0
92,main,0,0,0,1,0,0,0,0,0,0,0,0,0
93,main,0,0,0,1,0,0,0,0,0,0,0,0,0
94,main,0,0,0,1,0,0,0,0,0,0,0,0,0
95,main,0,0,0,1,0,0,0,0,0,0,0,0,0
96,main,0,0,0,1,0,0,0,0,0,0,0,0,0
97,main,0,0,0,1,0,0,0,0,0,0,0,0,0
98,main,0,0,0,1,0,0,0,0,0,0,0,0,0
99,main,0,0,0,1,0,0,0,0,0,0,0,0,0
100,main,0,0,0,1,0,0,0,0,0,0,0,0,0
101,main,0,0,0,1,0,0,0,0,0,0,0,0,0
102,main,0,0,0,1,0,0,0,0,0,0,0,0,0
103,main,0,0,0,1,0,0,0,0,0,0,0,0,0
104,main,0,0,0,1,0,0,0,0,0,0,0,0,0
105,main,0,0,0,1,0,0,0,0,0,0,0,0,0
106,main,0,1,0,0,0,0,0,0,0,0,0,0,0
107,main,1,0,0,0,0,0,0,0,0,0,0,0,0
108,main,1,0,0,0,0,0,0,0,0,0,0,0,0
109,main,0,1,0,0,0,0,0,0,0,0,0,0,0
110,main,0,1,0,0,0,0,0,0,0,0,0,0,0
111,main,0,1,0,0,0,0,0,0,0,0,0,0,0
112,main,0,0,0,0,1,0,0,0,0,0,0,0,0
113,none,0,0,0,0,0,0,0,0,0,0,0,0,0
114,none,0,0,0,0,0,0,0,0,0,0,0,0,0
115,main,0,0,0,1,0,0,0,0,0,0,0,0,0
116,main,0,0,0,1,0,0,0,0,0,0,0,0,0
117,main,0,0,0,1,0,0,0,0,0,0,0,0,0
118,main,0,0,0,1,0,0,0,0,0,0,0,0,0
119,none,0,0,0,0,0,0,0,0,0,0,0,0,0
120,none,0,0,0,0,0,0,0,0,0,0,0,0,0
121,none,0,0,0,0,0,0,0,0,0,0,0,0,0
122,none,0,0,0,0,0,0,0,0,0,0,0,0,0
123,none,0,0,0,0,0,0,0,0,0,0,0,0,0
124,none,0,0,0,0,0,0,0,0,0,0,0,0,0
125,none,0,0,0,0,0,0,0,0,0,0,0,0,0
126,none,0,0,0,0,0,0,0,0,0,0,0,0,0
127,none,0,0,0,0,0,0,0,0,0,0,0,0,0
128,none,0,0,0,0,0,0,0,0,0,0,0,0,0
129,none,0,0,0,0,0,0,0,0,0,0,0,0,0
130,none,0,0,0,0,0,0,0,0,0,0,0,0,0
131,none,0,0,0,0,0,0,0,0,0,0,0,0,0
132,none,0,0,0,0,0,0,0,0,0,0,0,0,0
133,none,0,0,0,0,0,0,0,0,0,0,0,0,0
134,none,0,0,0,0,0,0,0,0,0,0,0,0,0
135,none,0,0,0,0,0,0,0,0,0,0,0,0,0
136,none,0,0,0,0,0,0,0,0,0,0,0,0,0
137,none,0,0,0,0,0,0,0,0,0,0,0,0,0
138,none,0,0,0,0,0,0,0,0,0,0,0,0,0
139,none,0,0,0,0,0,0,0,0,0,0,0,0,0
140,none,0,0,0,0,0,0,0,0,0,0,0,0,0
141,none,0,0,0,0,0,0,0,0,0,0,0,0,0
142,none,0,0,0,0,0,0,0,0,0,0,0,0,0
